"","rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
"1928",136051310,"C (Crime preventing)","Female",3,NA,1,4,2,"16-24",1,"Degree or diploma","Urban",4,NA,1.43265950679779,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,3,3,3,NA
"1929",136233060,"B (Attitudes to the CJS)","Male",6,NA,2,1,1,"55-64",3,"None","Urban",1,NA,1.25017690658569,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,0,3,4,4,NA
"1930",136958250,"A (Experience of the police)","Male",6,NA,1,2,1,"45-54",1,"Degree or diploma","Urban",5,NA,1.42218148708344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,-0.178597956895828
"1931",136181020,"B (Attitudes to the CJS)","Male",6,NA,1,1,1,"65-74",1,"Degree or diploma","Rural",4,NA,1.08762621879578,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,3,4,4,NA
"1932",136250050,"A (Experience of the police)","Male",7,NA,2,4,1,"65-74",1,"None","Urban",1,NA,0.990655958652496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,0.956650137901306
"1933",147503290,"A (Experience of the police)","Female",7,NA,2,4,1,"65-74",1,"None","Urban",NA,1,1.053431391716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-0.749653160572052
"1934",136357070,"C (Crime preventing)","Male",7,NA,2,1,3,"55-64",1,"Degree or diploma","Urban",5,NA,0.54914128780365,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,0,4,4,4,NA
"1935",147549100,"B (Attitudes to the CJS)","Male",7,NA,2,4,6,"75+",1,"None","Urban",4,NA,0.299365967512131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"1936",137047200,"D (Online security)","Male",3,2,2,4,3,"16-24",1,"Apprenticeship or A/AS level","Urban",2,NA,3.54554772377014,13,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA
"1937",137128120,"D (Online security)","Female",7,NA,1,2,6,"55-64",1,"None","Urban",1,NA,1.07537508010864,13,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,NA
"1938",136358080,"D (Online security)","Female",7,NA,1,1,1,"55-64",1,"O level/GCSE","Urban",5,NA,0.584484875202179,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1939",147606130,"A (Experience of the police)","Male",7,NA,2,1,6,"75+",1,"Apprenticeship or A/AS level","Urban",2,NA,0.399240612983704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"1940",136682300,"B (Attitudes to the CJS)","Female",7,NA,1,2,1,"45-54",1,"Apprenticeship or A/AS level","Urban",NA,3,2.01120543479919,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,3,4,3,NA
"1941",136373120,"D (Online security)","Female",5,NA,1,2,1,"35-44",3,"Degree or diploma","Urban",1,NA,0.874242663383484,13,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,NA
"1942",137101180,"B (Attitudes to the CJS)","Male",6,NA,1,2,3,"35-44",1,"Degree or diploma","Urban",5,NA,0.645121335983276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,NA
"1943",136924050,"A (Experience of the police)","Male",7,NA,1,2,3,"45-54",1,"Degree or diploma","Urban",2,NA,0.473688691854477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,0.804230690002441
"1944",147294260,"B (Attitudes to the CJS)","Female",6,NA,1,2,3,"16-24",1,"O level/GCSE","Urban",1,NA,1.20511162281036,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,4,4,4,NA
"1945",136342170,"A (Experience of the police)","Male",7,NA,1,1,6,"75+",1,"Apprenticeship or A/AS level","Urban",2,NA,0.343749612569809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,0.253804564476013
"1946",147434260,"B (Attitudes to the CJS)","Female",1,2,2,4,3,"16-24",2,"Degree or diploma","Urban",3,NA,0.446699410676956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"1947",136468080,"D (Online security)","Female",7,NA,1,2,2,"45-54",1,NA,"Urban",1,NA,0.484664589166641,9,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,NA
"1948",136001240,"D (Online security)","Female",4,NA,2,4,3,"16-24",4,"Apprenticeship or A/AS level","Urban",3,NA,0.786472499370575,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,NA
"1949",147376010,"A (Experience of the police)","Female",3,NA,1,4,1,"25-34",4,"Degree or diploma","Urban",2,NA,1.21653592586517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,3,0.776593506336212
"1950",136764350,"C (Crime preventing)","Female",7,NA,2,1,6,"75+",1,"O level/GCSE","Urban",4,NA,0.289974570274353,NA,NA,NA,NA,"Fairly Worried","Very Worried",NA,NA,"Very Worried","Fairly Worried","Fairly Worried",2.04860186576843,0,4,4,4,NA
"1951",137190170,"A (Experience of the police)","Male",6,NA,1,2,1,"35-44",3,"Degree or diploma","Urban",2,NA,1.23203945159912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-0.259906470775604
"1952",147324040,"D (Online security)","Male",5,NA,2,4,3,"16-24",1,"O level/GCSE","Urban",2,NA,0.9056276679039,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,NA
"1953",136760290,"A (Experience of the police)","Male",7,NA,1,1,3,"35-44",1,"O level/GCSE","Urban",4,NA,2.03833270072937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0.49454054236412
"1954",136304200,"D (Online security)","Female",6,NA,2,2,3,"16-24",1,"Degree or diploma","Urban",2,NA,2.09057569503784,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,NA
"1955",135493010,"A (Experience of the police)","Male",6,NA,2,1,6,"75+",1,"None","Urban",3,NA,0.474145114421844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.725520074367523
"1956",136511080,"D (Online security)","Male",7,NA,2,1,3,"65-74",1,"None","Rural",4,NA,0.384937137365341,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,NA
"1957",136398090,"A (Experience of the police)","Female",5,NA,1,4,1,"25-34",1,"None","Urban",3,NA,0.816342532634735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,3.14166164398193
"1958",136813220,"B (Attitudes to the CJS)","Female",6,NA,1,1,2,"35-44",1,"Degree or diploma","Rural",NA,2,0.461843103170395,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,3,NA
"1959",136355080,"D (Online security)","Female",5,NA,2,2,1,"35-44",1,"O level/GCSE","Urban",5,NA,1.8702746629715,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1960",135545300,"B (Attitudes to the CJS)","Female",7,NA,2,1,1,"65-74",1,"Apprenticeship or A/AS level","Urban",5,NA,0.548789918422699,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,4,4,4,NA
"1961",136597080,"D (Online security)","Male",7,NA,2,1,5,"75+",1,"None","Urban",1,NA,0.58302515745163,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,3,NA
"1962",147575160,"D (Online security)","Female",7,NA,2,1,1,"65-74",1,"None","Urban",5,NA,0.645203351974487,4,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1963",136957080,"D (Online security)","Female",7,NA,2,1,1,"65-74",1,"Apprenticeship or A/AS level","Urban",4,NA,1.18370997905731,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"1964",137005190,"C (Crime preventing)","Male",2,1,1,4,1,"25-34",1,"Apprenticeship or A/AS level","Urban",5,NA,1.61078667640686,NA,NA,NA,NA,"Fairly Worried","Not very worried",NA,NA,"Not Applicable","Not very worried","Not very worried",NA,0,4,4,4,NA
"1965",147527140,"B (Attitudes to the CJS)","Female",7,NA,1,4,3,"25-34",1,"Degree or diploma","Urban",1,NA,0.606106221675873,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,0,2,2,2,NA
"1966",137053180,"B (Attitudes to the CJS)","Female",7,NA,1,2,1,"45-54",1,"None","Urban",2,NA,1.10392642021179,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,3,4,3,NA
"1967",136750180,"B (Attitudes to the CJS)","Male",7,NA,1,4,1,"25-34",1,"O level/GCSE","Urban",1,NA,1.09480357170105,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,3,4,3,NA
"1968",135496210,"A (Experience of the police)","Male",7,NA,1,1,1,"65-74",1,"Apprenticeship or A/AS level","Urban",5,NA,1.52857911586761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,-1.21526670455933
"1969",137146160,"D (Online security)","Female",6,NA,2,2,1,"55-64",1,"Degree or diploma","Rural",5,NA,0.348962843418121,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"1970",136569050,"A (Experience of the police)","Female",3,NA,2,2,3,"16-24",3,"O level/GCSE","Urban",1,NA,2.49223208427429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,1.18135893344879
"1971",147283120,"D (Online security)","Female",1,2,1,2,1,"45-54",1,"O level/GCSE","Urban",2,NA,0.73964512348175,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"1972",147284210,"A (Experience of the police)","Female",7,NA,2,4,3,"25-34",1,"O level/GCSE","Urban",1,NA,0.565682947635651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,-0.990557968616486
"1973",147385070,"C (Crime preventing)","Male",4,NA,2,4,3,"55-64",1,"None","Urban",1,NA,0.65508508682251,NA,NA,NA,NA,"Not at all worried","Fairly Worried",NA,NA,"Not at all worried","Fairly Worried","Not at all worried",-0.153165355324745,0,3,3,3,NA
"1974",147397010,"A (Experience of the police)","Female",7,NA,1,2,1,"25-34",1,"Other","Urban",2,NA,1.20676982402802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-0.042878482490778
"1975",136581150,"C (Crime preventing)","Female",7,NA,1,2,4,"45-54",5,"O level/GCSE","Urban",1,NA,1.05889976024628,NA,NA,NA,NA,"Very Worried","Very Worried",NA,NA,"Very Worried","Very Worried","Very Worried",2.90235924720764,0,4,4,4,NA
"1976",135577170,"A (Experience of the police)","Female",5,NA,2,4,3,"25-34",1,"None","Urban",1,NA,0.674233853816986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,1.67093682289124
"1977",136093240,"D (Online security)","Female",7,1,2,4,6,"65-74",1,"None","Urban",3,NA,0.581566393375397,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1978",136605170,"A (Experience of the police)","Female",1,2,1,4,3,"25-34",1,"Other","Urban",5,NA,0.269340515136719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,0.967834949493408
"1979",136531210,"A (Experience of the police)","Female",7,NA,1,2,5,"55-64",1,"Degree or diploma","Rural",5,NA,0.516501426696777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"1980",147264020,"B (Attitudes to the CJS)","Female",7,NA,2,1,5,"65-74",1,"O level/GCSE","Urban",2,NA,0.610906779766083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1981",136268100,"B (Attitudes to the CJS)","Female",7,NA,2,1,1,"55-64",1,"None","Rural",NA,4,0.694456517696381,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"1982",147535270,"C (Crime preventing)","Female",6,NA,1,2,1,"45-54",1,"None","Urban",1,NA,1.11155152320862,NA,NA,NA,NA,"Not very worried","Very Worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.370806723833084,1,1,2,2,NA
"1983",136616040,"D (Online security)","Female",7,NA,2,1,1,"65-74",1,"Degree or diploma","Rural",3,NA,0.627322196960449,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1984",136629240,"D (Online security)","Female",7,NA,2,1,1,"65-74",1,"None","Urban",1,NA,1.12443923950195,7,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,2,NA
"1985",147413020,"B (Attitudes to the CJS)","Male",7,NA,1,2,1,"45-54",1,"Apprenticeship or A/AS level","Rural",4,NA,0.649959206581116,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,3,3,3,NA
"1986",137059300,"B (Attitudes to the CJS)","Male",7,NA,2,1,1,"75+",1,"Degree or diploma","Urban",4,NA,0.80788666009903,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"1987",136733260,"B (Attitudes to the CJS)","Male",5,NA,1,2,2,"45-54",1,"Degree or diploma","Rural",4,NA,1.20068681240082,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,3,4,3,NA
"1988",136474160,"D (Online security)","Female",6,NA,1,2,2,"25-34",1,"Degree or diploma","Rural",3,NA,0.521310865879059,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1989",147448230,"C (Crime preventing)","Female",6,NA,2,1,3,"16-24",3,"None","Urban",2,NA,5.05136919021606,NA,NA,NA,NA,"Very Worried","Very Worried",NA,NA,"Very Worried","Very Worried","Very Worried",2.90235924720764,0,4,4,3,NA
"1990",147465150,"C (Crime preventing)","Female",5,NA,2,4,1,"55-64",1,"Apprenticeship or A/AS level","Urban",5,NA,1.14623975753784,NA,NA,NA,NA,"Fairly Worried","Not at all worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.566051304340363,0,4,4,4,NA
"1991",136145280,"D (Online security)","Female",4,2,2,4,1,"35-44",3,"None","Urban",2,NA,1.25934982299805,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,NA
"1992",136510190,"C (Crime preventing)","Male",5,NA,2,4,6,"75+",1,"Apprenticeship or A/AS level","Urban",2,NA,0.447192460298538,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Fairly Worried","Not very worried",0.0829038098454475,1,4,4,4,NA
"1993",136875220,"B (Attitudes to the CJS)","Male",7,NA,1,1,3,"55-64",1,"Degree or diploma","Urban",5,NA,0.465074986219406,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,4,4,4,NA
"1994",147556040,"D (Online security)","Female",5,NA,2,1,5,"65-74",1,"None","Rural",4,NA,0.370977818965912,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1995",136981160,"D (Online security)","Female",6,NA,1,2,1,"45-54",1,"O level/GCSE","Urban",3,NA,1.70601844787598,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"1996",137128160,"D (Online security)","Male",7,NA,1,1,3,"35-44",1,"O level/GCSE","Urban",2,NA,0.617625892162323,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,NA
"1997",136217060,"B (Attitudes to the CJS)","Male",7,NA,1,4,1,"45-54",1,"O level/GCSE","Urban",1,NA,1.18526792526245,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,4,4,4,NA
"1998",136598040,"D (Online security)","Male",7,NA,1,1,3,"55-64",1,"Degree or diploma","Urban",2,NA,0.408116608858109,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,NA
"1999",136891010,"A (Experience of the police)","Female",7,NA,2,1,6,"55-64",1,"None","Rural",2,NA,0.286880135536194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-0.287543594837189
"2000",136333040,"D (Online security)","Female",7,NA,1,2,1,"45-54",1,"O level/GCSE","Urban",1,NA,0.557512581348419,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2001",136986310,"C (Crime preventing)","Female",7,NA,1,4,3,"25-34",2,"Apprenticeship or A/AS level","Urban",1,NA,0.714250206947327,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-0.823424398899078,0,3,3,3,NA
"2002",147437070,"C (Crime preventing)","Male",5,NA,1,2,1,"35-44",1,"None","Urban",1,NA,0.720467686653137,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,0,4,4,4,NA
"2003",136473150,"C (Crime preventing)","Male",7,NA,2,1,5,"65-74",1,"Apprenticeship or A/AS level","Rural",3,NA,0.241415187716484,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,0,4,4,4,NA
"2004",136082240,"D (Online security)","Female",7,NA,2,2,1,"25-34",1,"Apprenticeship or A/AS level","Urban",4,NA,1.25707519054413,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"2005",147571290,"A (Experience of the police)","Female",7,NA,2,1,1,"75+",1,"O level/GCSE","Urban",5,NA,0.756913125514984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,-1.00174283981323
"2006",136926290,"A (Experience of the police)","Male",7,NA,2,1,3,"55-64",1,"O level/GCSE","Urban",1,NA,0.331973195075989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.151129633188248
"2007",136672160,"D (Online security)","Female",7,NA,2,4,6,"75+",1,"None","Rural",3,NA,0.377480328083038,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,NA
"2008",136686050,"A (Experience of the police)","Female",4,NA,1,2,1,"35-44",1,"Degree or diploma","Urban",2,NA,0.592032134532928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,1.53104054927826
"2009",136667300,"B (Attitudes to the CJS)","Female",7,NA,1,1,1,"45-54",1,"O level/GCSE","Rural",3,NA,1.4618546962738,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,3,3,3,NA
"2010",136400180,"B (Attitudes to the CJS)","Female",7,NA,2,1,1,"75+",1,"O level/GCSE","Urban",NA,2,0.685663282871246,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,3,3,3,NA
"2011",136941120,"D (Online security)","Male",2,1,1,2,1,"25-34",1,"Degree or diploma","Rural",5,NA,0.631572902202606,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2012",147418240,"D (Online security)","Female",2,2,2,4,3,"16-24",1,"Other","Urban",3,NA,2.24785113334656,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,NA
"2013",137195060,"B (Attitudes to the CJS)","Female",7,NA,1,2,5,"55-64",1,"Degree or diploma","Rural",2,NA,0.343988716602325,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"2014",135505270,"C (Crime preventing)","Female",7,NA,1,1,5,"65-74",1,"None","Urban",3,NA,0.541629076004028,NA,NA,NA,NA,"Not very worried","Fairly Worried",NA,NA,"Fairly Worried","Fairly Worried","Not at all worried",0.639605402946472,0,3,3,3,NA
"2015",136043240,"D (Online security)","Female",7,NA,2,1,6,"75+",1,"None","Urban",3,NA,0.812465608119965,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,NA
"2016",136082090,"A (Experience of the police)","Male",1,2,2,4,1,"65-74",1,"None","Urban",1,NA,1.12250077724457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,-0.990557968616486
"2017",136362280,"D (Online security)","Female",7,NA,2,1,6,"75+",1,"None","Urban",5,NA,0.667295813560486,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,NA
"2018",147282060,"B (Attitudes to the CJS)","Female",7,NA,1,2,1,"45-54",1,"Degree or diploma","Urban",4,NA,0.726513922214508,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,3,3,3,NA
"2019",136117160,"D (Online security)","Female",7,NA,2,1,1,"75+",1,"None","Urban",3,NA,0.941883563995361,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2020",136810180,"B (Attitudes to the CJS)","Female",6,NA,1,2,5,"45-54",1,"Degree or diploma","Rural",NA,5,0.292365252971649,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,3,3,3,NA
"2021",136757070,"C (Crime preventing)","Female",6,NA,2,1,5,"55-64",1,"Degree or diploma","Urban",4,NA,0.568373799324036,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Not very worried","Fairly Worried","Fairly Worried",1.20399343967438,1,4,4,4,NA
"2022",147428140,"B (Attitudes to the CJS)","Female",4,NA,2,2,1,"25-34",1,"Apprenticeship or A/AS level","Urban",4,NA,1.19103586673737,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,4,4,3,NA
"2023",136403060,"B (Attitudes to the CJS)","Female",3,NA,2,2,1,"35-44",1,"Degree or diploma","Urban",NA,2,0.537447929382324,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,4,4,4,NA
"2024",137037310,"C (Crime preventing)","Female",3,NA,2,1,5,"55-64",1,"Degree or diploma","Rural",5,NA,0.237067401409149,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,4,4,4,NA
"2025",136132150,"C (Crime preventing)","Male",7,NA,2,1,1,"75+",1,"Degree or diploma","Urban",NA,4,0.503842234611511,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,4,4,4,NA
"2026",137014120,"D (Online security)","Female",7,2,1,1,4,"55-64",1,"Degree or diploma","Urban",3,NA,2.52215695381165,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2027",136108040,"D (Online security)","Female",7,NA,2,2,1,"35-44",1,"Apprenticeship or A/AS level","Urban",4,NA,1.04999601840973,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2028",136760160,"D (Online security)","Female",5,NA,2,4,3,"25-34",1,"Apprenticeship or A/AS level","Urban",3,NA,0.759718537330627,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,NA
"2029",136301280,"D (Online security)","Male",7,NA,2,1,1,"75+",1,"None","Urban",2,NA,1.13951313495636,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,NA
"2030",136872040,"D (Online security)","Male",5,NA,1,2,3,"45-54",1,"Degree or diploma","Rural",4,NA,0.454936861991882,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"2031",136695040,"D (Online security)","Female",2,1,1,2,1,"45-54",1,"Degree or diploma","Urban",3,NA,1.10876214504242,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,NA
"2032",137138180,"B (Attitudes to the CJS)","Male",7,NA,2,4,3,"45-54",4,"None","Urban",3,NA,0.30049791932106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,NA
"2033",136689070,"C (Crime preventing)","Female",6,NA,1,9,1,"55-64",1,"Degree or diploma","Urban",4,NA,1.13787400722504,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,0,4,4,4,NA
"2034",136558160,"D (Online security)","Male",6,NA,2,1,1,"75+",3,"None","Urban",2,NA,0.514739096164703,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"2035",136799110,"C (Crime preventing)","Male",6,NA,1,1,1,"35-44",1,"Apprenticeship or A/AS level","Urban",5,NA,1.58076608181,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,0,4,4,4,NA
"2036",136960170,"A (Experience of the police)","Female",7,NA,2,1,5,"65-74",1,"O level/GCSE","Urban",3,NA,0.590014457702637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,0.454380214214325
"2037",147630290,"A (Experience of the police)","Female",4,NA,1,4,3,"25-34",1,"O level/GCSE","Rural",NA,3,0.381019502878189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,0.229671433568001
"2038",136640190,"C (Crime preventing)","Female",1,2,2,1,6,"65-74",1,"None","Urban",1,NA,0.594038248062134,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",-0.246148273348808,0,2,2,3,NA
"2039",147544230,"C (Crime preventing)","Male",7,NA,2,1,1,"75+",1,"Apprenticeship or A/AS level","Urban",4,NA,1.1112414598465,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,4,4,4,NA
"2040",137075280,"D (Online security)","Male",5,NA,2,4,3,"25-34",1,"Apprenticeship or A/AS level","Rural",3,NA,0.45418193936348,10,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,NA
"2041",135589190,"C (Crime preventing)","Female",6,NA,1,4,1,"35-44",4,"O level/GCSE","Urban",1,NA,1.33050763607025,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Not very worried","Not very worried","Fairly Worried",0.894782662391663,0,3,3,2,NA
"2042",136714300,"B (Attitudes to the CJS)","Male",5,NA,2,1,1,"55-64",1,"O level/GCSE","Urban",2,NA,1.06335973739624,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,0,4,4,4,NA
"2043",147273190,"C (Crime preventing)","Female",4,NA,2,2,1,"25-34",5,"Degree or diploma","Urban",4,NA,1.29236149787903,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Fairly Worried",0.329665303230286,0,4,4,4,NA
"2044",136750130,"A (Experience of the police)","Female",3,NA,2,1,5,"65-74",1,"O level/GCSE","Urban",1,NA,0.481424361467361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,2.62980103492737
"2045",136923240,"D (Online security)","Female",7,NA,1,3,1,"25-34",1,"O level/GCSE","Urban",5,NA,0.874251425266266,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
